一级知识点,二级知识点,三级知识点,四级知识点,五级知识点,六级知识点,七级知识点,前置知识点,后置知识点,关联知识点,知识点说明
,,关键道路问题,,,,,,PERT图模型,,"方法: 通过生成树方法计算源到其他结点的最长道路。
；定义: 确定工程中最长路径以优化工期和成本。
"
,,内否,,,,,,,,"定义: 将命题公式中所有变量取反得到的新公式。
；记法: 记为$G^{
eg}$。
；性质: 内否公式的内否公式等于原公式。
"
,,函数关系,,,,,,,逆运算;复合运算,"定义: 通过复合运算产生新函数的关系。
；应用: 用于生成新的函数关系。
"
,,函数的复合运算,,,,,定理7.4,复合函数,,"特性: 满足结合律。
；定义: 函数关系的合成。
；结果: 结果仍是一个函数。
；条件: 前一个函数的值域是后一个函数定义域的子集。
"
,,函数的逆运算,,,,,,双射;逆关系,,"定义: 求函数的逆关系，使其成为从B到A的函数。
；结果: 得到逆函数f^-1，满足f^-1 ∘ f = I_B和f ∘ f^-1 = I_A。
；条件: 原函数f必须为双射。
"
,,函数集,,,,,函数,,,"定义: 从集合 A 到 B 的所有函数构成的集合。
；记法: B^A = {f | f: A → B}。
"
,,分治,,,,,算法设计策略,子问题,分治策略,"定义: 将大问题分割为小问题，分而治之。
；特点: 子问题与原问题相同，递归解决。
；应用: 与递归结合，形成高效算法。
"
,,分治法,,,,,,,分治算法,"定义: 通过递归分解和合并求解问题的方法。
；特点: 子问题独立且形式相同。
；应用: 如折半查找等。
"
,,分治策略,,,,,,递归策略,递归,"用途: 用于解决难以直接求解的大问题，形成高效算法。
；步骤: 分解问题、求解子问题、合并结果。
；定义: 将问题分解为小规模子问题递归求解并合并结果；将大问题分割成规模较小的子问题，递归解决并组合子问题解的策略；将大问题分解为独立小问题，求解后合并结果。
；相关: 与递归算法紧密相关，通过分而治之的方式解决问题。
；特点: 递归分解，合并子问题解；子问题与原问题类型相同，递归应用；适用于问题可分解为相同小问题的情况。
"
,,分治算法,,,,,,折半查找;计算复杂性;递推关系,,"步骤: 分解、求解、合并。
；复杂度: 通过递推关系分析。
；特点: 适用于可递归分解的问题。
"
,,分配格,,,,,,消去律;链;五角格;钻石格;对偶式,,"特性: 不存在与钻石格或五角格同构的子格。
；定义: 满足分配律的特殊格结构。
；定理: 任意一条链都是分配格，具有特殊消去律。
；条件: 对任意a,b,c，有a*(b⊕c)=(a*b)⊕(a*c)和a⊕(b*c)=(a⊕b)*(a⊕c)。
；特点: 满足分配律的格结构。
；类型: 特殊格之一。
"
,,划分,,,,,,,,"关系: 与等价关系对应；是覆盖的一种特殊情况。
；定义: 集合被等价关系分割成的互不相交的子集的集合；将集合分成若干个互不相交的子集，其并集等于原集合。
；特点: 每个子集都是原集合的子集，子集间无交集。
"
,,初等代数,,,,,,,算术,"定义: 用抽象字母代替具体数，研究运算性质与技巧。
；特点: 用字母表达，更具一般性和通用性。
"
,,判定,,,,,,,,"方法: 真值表法、等值演算法；通过真值表验证公式间的蕴含关系；公式演算法和真值表法。
；用途: 用于演绎推理的有效性验证。
；步骤: 证明永真性、假设前件为真后件为真、假设后件为假前件为假。
；对象: 永真蕴含关系。
；定义: 判断命题公式间永真蕴含关系的方法。
"
,,判断,,,,,,,命题,"层次: 逻辑科学的第二层次；谓词逻辑表达的思维层次之一。
；作用: 在形式逻辑系统中起承上启下的枢纽作用；由概念形成，是推理的基础。
；载体: 以命题为载体实现逻辑演算与推理功能。
"
,,前缀码,,,,,,赋权二元树;二元前缀码,,"定义: 符号串集合中任意两个符号串互不为前缀的编码。
；特点: 无前缀重叠
"
,,剪枝,,,,,,限界函数;约束函数,,"方法: 使用约束函数或限界函数进行剪枝。
；定义: 通过判断避免不必要的遍历，剪去解空间树中不必要的枝条。
；目的: 缩小搜索规模，优化搜索策略。
"
,,加法器电路设计,,,,,,,,"组成: 包括半加法器和全加法器。
；定义: 利用逻辑电路实现二进制加法。
；目的: 产生数的和及进位。
"
,,包含关系,,,,,,传递性;反对称性;自反性,,"等价: 等价于 $A\subseteq B$。
；定义: 若B中每个元素都是A中的元素，则B包含于A。
；条件: 一个集合的特征函数小于等于另一个集合的特征函数，即 $\chi_{A}(x)\leq\chi_{B}(x)$。
；性质: 具有自反性、反对称性和传递性。
；符号: 用'B⊆A'表示。
"
,,匈牙利匹配构造算法,,,,,,,,"用途: 用于二分图中的匹配构造。
；理论: 基于二分图模型的基本理论。
"
,,匈牙利算法,,,,,,可增广道,贝尔格定理,"用途: 求解二分图的最大匹配问题。
；步骤: 寻找可增广道，通过对称差运算更新匹配，直到无新可增广道。
；定义: 基于贝尔格定理构造二分图最大匹配的算法。
"
,,半哈密顿图,,,,,,推论10.2,,"特性: 满足特定必要条件。
；定义: 存在哈密顿通路的图。
；条件: 连通分支数满足特定不等式。
"
,,半欧拉图,,,,,,奇度数结点,欧拉通路,"算法: 弗洛莱算法可用于找到欧拉通路。
；定义: 存在欧拉通路但不存在欧拉回路的图。
；条件: 无向图为连通且恰有2个奇度数结点；有向图为连通且一个结点入度比出度大1，另一个结点出度比入度大1。
"
,,单射,,,,,定理7.6,,,"特性: 复合函数单射当且仅当两个函数都单射；每个元素在函数下有唯一像；有限集上的单射必是满射。
；定义: 每个不同输入有不同输出的函数；集合A中不同元素对应不同像的函数。
"
,,单射函数,,,,,,双射,满射函数,"定义: 不同自变量映射到不同像的函数。
；条件: 对任意x1, x2∈A，x1≠x2则f(x1)≠f(x2)
"
,,博弈树,,,,,树模型,计算机程序研究,,"特性: 节点表示博弈状态，分支表示可能的行动；通常庞大，需化简以高效使用。
；用途: 用于分析和解决博弈问题；解决轮流摸牌等博弈问题。
；定义: 一种表示博弈过程的树结构；表示游戏局面的特殊树模型，边表示局面演变。
"
,,双射函数,,,,,,,置换函数,"特性: 具有逆函数的函数。
；用途: 建立图模型或代数结构间的同构映射。
；定义: 一一对应且满射的函数；集合上的每个元素都有唯一对应元素的函数；有限集上的双射函数是所有元素的全排列。
；别名: 置换函数。
；性质: 若$f$和$g$是双射函数，则$f \circ g$也是双射函数。
"
,,双射函数集,,,,,,全排列,置换函数;可逆函数集,"定义: 有限集A上所有双射函数构成的集合。
；记法: 记为F_A。
；性质: 封闭于复合运算，满足结合律，包含单位元和逆元。
"
,,反自反关系,,,,,,系图;关系矩阵;反自反性质,,"特性: 元素不与自身具有该关系。
；定义: 集合A上的关系R，若对任意x∈A，都有⟨x,x⟩∉R。
；结论: 与自反关系互斥；存在既非自反也非反自反的关系；系图中无自环；关系矩阵主对角线全为0。
"
,,取整函数,,,,,,下取整函数;上取整函数,,"定义: 将实数映射到最接近的整数的函数。
；分类: 上取整函数和下取整函数。
"
,,变换群,,,,,群,,,"特性: 可以是有限或无限群。
；关系: 每个群同构于一个变换群。
；定义: 由集合上全体一一变换及其乘法构成的群。
；应用: 用于研究集合上变换的性质。
"
,,可分性,,,,,,,,"定义: 集合中每个元素可明确区分。
"
,,可平面图,,,,,,,,"特性: 可转化为平面图。
；定义: 可画在平面上且边不交叉的图。
；区别: 与平面图通常不加区分。
"
,,可数集,,,,,,,不可数集,"特性: 可以是无限集，但其元素可按自然数顺序排列。
；定义: 能与自然数集建立一一对应的集合；元素个数可以与自然数一一对应的集合；可以用自然数集一一对应的集合。
"
,,可行性,,,,,,,,"特性: 算法原则上要能够精确运行。
；定义: 算法中运算可精确运行，用笔纸可完成有限次运算。
"
,,可达性,,,,,,连通性关系;距离;短程线,,"矩阵: 可达性矩阵表示结点间的可达性关系。
；定义: 图中两个结点之间是否存在通路的性质。
；判定: 通过邻接矩阵的布尔幂运算确定。
"
,,可达性矩阵,,,,,,传递闭包,,"特性: 无向图为对称矩阵。
；定义: 表示图中结点之间可达性关系的矩阵。
；计算: 由邻接矩阵的布尔幂运算得到。
"
,,可逆函数集,,,,,,,,"关系: 是A中所有置换的集合。
；记法: 有时记为A!。
；定义: 同双射函数集，即A上所有可逆函数的集合。
"
,,可重复排列,,,,,,可重复r-排列数;选排列;全排列,,"定义: 从重集中依次取出r个元素形成的有序排列。
；计算: 无穷重m元重集的可重复r-排列数为m^r
；分类: 全排列（r=n），选排列（r<n）
"
,,同余,,,,,同余算术;代数结构;代数结构,,,"用途: 用于划分代数结构的等价类。
；定义: 由同态映射导出的等价关系；代数结构中的等价关系，保持运算性质；代数结构中元素间的一种等价关系；两整数被某除数除后余数相等。
；来源: 同态映射导出的等价关系。
；性质: 通过同余关系可以对代数结构进行划分。
；特点: 约束比整除宽松。
；应用: 研究代数结构间的等价关系；用于简化代数结构的研究。
"
,,同余关系,,,,,正规子群;商群;代数结构,传递性;对称性;自反性;陪集;保持性,模同余;等价关系;划分;等价关系;等价关系,"特性: 具有自反性、对称性和传递性
；定义: 在代数结构中，元素间在运算后仍保持的等价关系；群结构中的等价关系；一种特殊等价关系，能保证其对应划分在运算下保持不变；设\langle G,*angle是群，\langle H,*angle是其子群，若a*b^{-1}\in H，则a\equiv b(mod H)；左右陪集相等的关系；两个整数除以同一正整数余数相等的关系。
；条件: 满足特定运算下的等价关系
；判定: 当且仅当该正整数能整除两整数之差
；性质: 若等价关系在所有运算下可保持，则为同余关系；保运算；是G上的等价关系，对运算*具有保持性
；应用: 用于构造商代数和自然同态关系；用于研究群的性质；用于考察代数结构的载体集合划分问题；确定群G的划分，形成等价类
"
,,同余方程,,,,,,同余方程解,同余关系,"用途: 用于模余运算和加密算法
；定义: 研究整数除法余数的方程；涉及同余关系的方程；关于未知数的线性同余关系式
；条件: 有解需a与m的最大公因数整除b
；求解: 求解同余方程及其方程组
；性质: 若存在解，则同余的所有整数视为同一解
；内容: 包括同余方程及其解法
；应用: 在整数加密算法设计中应用
"
,,同余方程组,,,,,中国余数定理,,同余方程,"定义: 多个同余方程联立的方程组。
；定理: 中国余数定理保证唯一解存在。
；性质: 模两两互素时，有唯一解。
"
,,同余运算,,,,,,,,"定义: 在同余关系下进行的加法和乘法运算。
；性质: 保加性和保乘性。
"
,,同态核,,,,,正规子群,,,"定义: 同态映射下映射到单位元的元素集合。
；作用: 用于构造商群。
；性质: 是正规子群。
"
,,含幺半群,,,,,环;群,二元运算;同态映射;子含幺半群;单位元,,"特性: 含单位元
；关系: 特殊半群
；定义: 在半群基础上增加存在单位元；含有单位元的半群；具有单位元素的半群；具有一个运算且有单位元的代数结构。
；子结构: 元素方幂集合可构成子含幺半群。
；性质: 单位元素是其方幂运算的基础。
；特点: 比半群更特殊；运算满足结合律，存在单位元。
"
,,命题,,,,,,析取联结词;合取联结词;命题标识符;复合命题;原子命题;真值;假命题;真命题,,"特性: 具有特定运算及运算性质；可进行逻辑运算的基本单位
；表示: 用大写英文字母表示，称为命题标识符
；操作: 通过联结词构成复合命题
；定义: 具有确切真假含义且能做出判断的陈述句；具有确定真值的陈述句；可判断真假的陈述句
；作用: 构成命题演算的基本元素
；分类: 原子命题和复合命题
；类型: 数学对象；原子命题和复合命题
"
,,命题代数,,,,,布尔代数,非运算;或运算;与运算,集合代数,"特性: 与集合代数在运算性质上相同
；关系: 与布尔代数类似，可抽象成布尔表达式。
；定义: 具有与、或、非运算的代数系统；由命题公式集合及其逻辑运算构成的代数结构；以命题为运算对象的代数；通过命题表达式进行计算的代数系统；以命题为基本处理单元的代数系统；用数学符号描述和处理命题逻辑，进行抽象符号运算的理论；研究命题逻辑运算的代数系统。
；核心: 命题公式是其运算表达式。
；基础: 布尔代数的一个实例。
；别称: 布尔代数或命题逻辑
；内容: 包括命题公式的基本概念、解释与分类、等值关系与等值演算等。
；示例: 逻辑命题的运算；⟨S,∧,∨,¬⟩
；应用: 支撑离散数学结构，是布尔代数的具体实例；应用于计算机系统的设计与开发。
"
,,命题公式,,,,,,主合取范式;小项;析取;合取;否定;等值;限制性命题公式;真值指派;恒等;可满足式;永假公式;永真公式;真值表;合式公式;逻辑联结词;真值函数;命题常量;命题变量;真值表;归纳定义;对偶式;内否式;解释与分类,永真蕴含关系;范式;主析取范式;范式;范式;联结词;等值关系;等值演算;解释;基本类型;命题代数;等值关系;逻辑运算,"特性: 无确定真值，需通过解释赋予真值；具有等值关系的命题公式在任意赋值下值相同；可通过真值指派判断其真值；可由完备集联结词等值表示；存在无穷多个，彼此等值的公式视为同一种类型；可通过范式进行规整表达；具有永真蕴含关系的判定基础；不含量词，形式上类似于前束型公式的母式。
；用途: 用于命题逻辑中的推理和演算；通过等值演算判定类型、证明等值关系、化简公式；用于表示逻辑命题；用于演绎推理，揭示前提与结论间的永真蕴含关系；用于逻辑推理和证明。
；组成: 由命题变量、常量及联结词（如否定、合取、析取）构成。
；规则: 按特定规则构造的合式公式。
；定义: 用数学符号表示的命题逻辑表达式；由命题变量和逻辑运算符组成的表达式；由命题变量和逻辑联结词构成的逻辑运算表达式；由命题变量和逻辑联结词构成的抽象命题表达式；由命题变量和逻辑联结词构成的逻辑表达式；在命题逻辑中，表达命题的公式；含命题变元的逻辑表达式；由命题变元和逻辑联结词构成的公式；由命题变量和逻辑联结词构成的公式；由命题变量、常量和联结词构成的逻辑表达式；由命题变量和逻辑联结词构成的逻辑表达式；由命题变量和联结词构成的逻辑表达式；由联结词表示的逻辑表达式；由命题变量和逻辑运算符构成的逻辑表达式；由命题变量和逻辑运算联结词组成的表达式；作为前提或结论的命题表达式；由命题变量和逻辑运算符构成的公式；由命题变量和逻辑运算符组成的公式。
；作用: 用于演绎推理，揭示前提与结论间的永真蕴含关系。
；特点: 相当于初等代数中的多项式；其取值为真或假的真值函数；具有确定的真值。
；方法: 使用基本等值关系、代入定理和替换定理进行等值演算。
；考察: 联结词能否表示任意命题公式及其最小数量。
；解释: 对命题变量指定真值，形成具体复合命题。
；问题: 联结词的枚举和完备集问题。
；内容: 包括基本概念、解释与分类、内否式与对偶式等；包括概念、归纳定义、解释与真值表、基本类型等
；分类: 包括限制性命题公式和非限制性命题公式；根据变量数量分为一元、二元等真值函数。
；类型: 分为永真、永假和可满足三种基本类型；根据变量数量分为一元、二元等真值函数。
"
,,命题函数,,,,,,简单命题函数;个体变量;变量,谓词;谓词,"特性: 谓词刻画变量性质和联系，构成主体内容；变量未赋值时，真值不确定；变量赋值后，成为命题。
；关系: 本质上是含有变元的谓词。
；定义: 涉及个体词和谓词的函数；含有变量的语句，表示一类命题；含有变量的语句，变量取值确定后具有确定真值的函数；取值于{0,1}的n元函数，表达命题；含有变元的简单命题函数。
；特点: 通过个体变量泛化实现对命题结构的分解和抽象。
；内容: 谓词逻辑中的基本概念之一。
"
,,命题推证的基本策略,,,,,,,,"定义: 在命题逻辑中使用的推理方法和技巧。
"
,,命题的基本概念,,,,,,,,"用途: 是学习命题逻辑的基础。
；内容: 包括命题逻辑的由来、命题的定义等。
"
,,命题的基本运算,,,,,,,,"用途: 实现命题逻辑演算的基础操作。
；内容: 包括常用联结词、命题的符号化与应用等。
"
,,命题的常用联结词,,,,,,等价联结词;蕴含联结词;否定联结词,,"定义: 用于构建复合命题的基本逻辑联结词。
"
,,命题逻辑,,,,,谓词逻辑;谓词逻辑;命题公式的范式;谓词逻辑,原子命题;计算机加法器电路设计;组合电路设计;自动推理;电路设计;案件侦破;逻辑思维能力;命题的符号化与应用;常用联结词;命题逻辑的推理系统与方法;真值函数与联结词的完备集;命题公式与等值演算;命题的基本概念与运算性质,演绎推理;演绎推理;命题;命题的基本运算;命题的基本概念,"关系: 谓词逻辑推理演算方法是其自然延伸。
；用途: 进行逻辑思维中的是非判断；培养逻辑思维能力，应用于案件侦破、电路设计等。
；对象: 命题
；定义: 研究命题及其逻辑演算与推理的学科；研究命题及其逻辑关系的数学分支；基于命题的逻辑演算与推理体系；以原子命题为基本单元研究命题性质和逻辑推演；研究命题及其推理的逻辑系统；研究命题及其逻辑关系的逻辑系统；研究命题及其逻辑关系的学科；谓词逻辑的特例，知识体系被谓词逻辑涵盖。
；作用: 掌握数理逻辑基本理论和应用技术的基础。
；特点: 较为基础，未涉及个体词、谓词、量词等概念；命题是特殊的零元谓词；包含命题公式间的等值和永真蕴含关系；每个命题公式有统一范式，满足唯一性和等值性。
；对比: 问题求解思路与谓词逻辑类似；谓词逻辑比命题逻辑更精细、深刻、复杂。
；层次: 命题逻辑在概念层次上的表达较为基础。
；地位: 数理逻辑中最经典、最基础的部分；数理逻辑学的基础内容，逻辑学体系中的重要部分。
；问题: 无法解决苏格拉底三段论推理问题。
；局限: 无法处理命题内部成分之间的联系。
；内容: 包括命题概念、运算性质、公式等值演算等。
；应用: 案件侦查自动推理、组合电路设计、计算机加法器电路设计；组合逻辑电路设计的理论基础和工具；用于命题公式的化简、变形和推理；用于将前束型公式中的母式转化为析取或合取范式；概念、等值式、永真蕴含式等在谓词逻辑中直接或类似应用；其推演系统知识可直接应用于谓词逻辑推理。
；学习起点: 从命题的概念和运算开始。
"
,,命题逻辑推理,,,,,,推理结论;推理前提条件;案件侦破;命题推证基本策略;命题推演系统;命题公式永真蕴含关系,,"作用: 在案件侦破等领域进行有效推理。
；内容: 包括基本概念、永真蕴含关系与判定、推演系统构成及推证策略。
；应用: 利用案件线索作为推理前提，得出有价值的结论。
"
,,哈密顿回路,,,,,,,,"特性: 是经过所有结点的最短回路。
；关系: 与哈密顿通路密切相关。
；定义: 经过图中每个结点一次且仅一次的回路。
"
,,哈密顿通路,,,,,,,,"特性: 是经过所有结点的最短通路。
；关系: 是图中所有结点的一个全排列。
；定义: 经过图中每个结点一次且仅一次的通路。
"
,,哈希查找,,,,,,冲突,,"用途: 在有限存储空间中合理存放数据并快速查找。
；定义: 通过哈希函数实现快速数据定位查找的方法。
"
,,哈斯图,,,,,偏序集,,偏序格,"特性: 自下而上的层次结构，刻画结点间的偏序关系；特殊点如最高层、最底层点表示偏序集的特殊元素。
；用途: 直观表示偏序格结构；表示偏序集中的特殊元素；表示特定类型的关系。
；定义: 化简后的偏序关系图，用上下位置表示先后次序；一种特殊的关系图。
；构建: 省略自环，用无向边表示可比关系，删除冗余边。
；特点: 特殊点如最高层、最底层点表示偏序集的特殊元素。
"
,,哥尼斯堡七桥问题,,,,,,连通图,,"模型: 需使用欧拉图及相关理论解决。
；问题: 如何不重复、不遗漏地一次走完七座桥并回到起点。
；结论: 无解，因每个结点均关联奇数条边。
；起源: 欧拉为解决此问题创立图模型理论。
；背景: 18世纪哥尼斯堡镇的七桥问题。
"
,,唯一性遍历,,,,,,,,"定义: 对图中边或结点进行唯一性遍历的问题。
；区别: 边遍历和结点遍历在内涵和求解难度上有巨大差异。
"
,,回溯,,,,,,排序;资源分配;最短路线;解空间搜索,蛮力法,"定义: 基于解空间搜索的方法。
；特点: 解空间有结构，以空间树形式存在。
；思路: 枚举所有解状态，生成解空间，进行搜索。
；应用: 最短路线、库存管理等问题求解。
"
,,回溯策略,,,,,,,,"定义: 试错探索未知世界的策略。
；特点: 试错过程，提供具体试错方案。
"
,,因数,,,,,,,,"定义: 若整数b能整除整数a，则b是a的因数。
；性质: 每个整数至少有两个因数：1和它本身。
"
,,因数分解,,,,,,素数,,"方法: 通过素数进行分解
；范围: 默认针对非负整数，结论可推广到所有整数
；定义: 将整数表示为其因数的乘积；将整数分解为若干因数的乘积的过程
；目的: 探究整数的基本结构和性质
；基础: 基于整除性质
"
,,图模型的应用,,,,,,作业规划问题,,"用途: 解决复杂问题，揭示结点间网状拓扑结构。
；实例: 遍历算法、最短路径算法等；如PERT图在作业规划中的应用。
；特点: 强大的知识表达能力。
"
,,图模型结构,,,,,回路;通路,,,"定义: 图中结点与边的性质与联系，考察结点之间的直接联系或关系。
"
,,图的可达性,,,,,无向图的连通性,,,"定义: 描述图中两个结点之间是否可以通过一条或多条通路进行联结的概念。
；应用: 用于判定图中结点间的连通关系。
"
,,图的基本运算,,,,,,补图;母图;子图;结点的删除运算;边的收缩运算;边的删除运算;边的添加运算,,"用途: 用于实际问题建模和求解中的图结构分析
；定义: 对图结构进行化简或修改的操作；对图模型进行特定部分提取和分析的操作
；类型: 包括加新边、删除边、收缩边、删除结点等
"
,,图的表示,,,,,,,,"相关: 包括遍历算法、最短路径算法等。
；内容: 图的概念、运算、性质及连通性质。
"
,,图的运算,,,,,,,,"用途: 用于分析和处理图模型。
；定义: 对图进行操作和变换的过程。
"
,,图结构修改运算,,,,,,结点的删除运算;边的收缩运算;边的删除运算;边的添加运算,,"定义: 对图结构进行化简或修改的操作。
；注意: 收缩边可能产生自环或平行边。
；特点: 修改图的结构，影响边和结点关系。
；类型: 加新边、删除边、收缩边、删除结点。
"
,,图论,,,,,,,哥尼斯堡七桥问题,"方法: 通过抽象结点和边来建模和解决问题。
；定义: 研究图及其相关性质和应用的数学分支；研究图及其相关性质和应用的数学理论。
；起源: 欧拉将问题抽象为图模型，建立数学理论；由欧拉解决哥尼斯堡七桥问题后创立。
；关联: 与关系数学理论交叉融合。
；特点: 形象思维与抽象思维、理论性与实用性的结合。
；应用: 解决复杂问题，发挥重要作用。
"
,,图运算,,,,,图模型,补图运算;子图运算;边点修改运算,集合运算,"用途: 根据图模型特点和问题求解需要产生新图模型。
；定义: 以图作为运算对象的运算。
；类型: 包括集合运算、边点修改运算、子图与补图运算等。
"
,,基数,,,,,,陪集;无限集;有限集,,"用途: 在加法原理中计算各子集的元素总数；衡量集合大小，用于群论分析
；定义: 度量集合规模大小的指标；度量集合规模的标准；集合中元素的个数。
；性质: 左右陪集基数相等且等于子群基数
；分类: 有限数或无穷大；有限集和无限集的基数不同
"
,,基本类型,,,,,,,,"用途: 用于分类和理解不同命题公式的特点。
；定义: 命题公式按结构和性质划分的不同类别。
；介绍: 函数的主要类别
；分类: 函数的不同形式
"
,,基本运算,,,,,,对称差运算;补运算;差运算;并运算;交运算,,"种类: 交、并、差、补、对称差运算。
；定义: 对集合进行操作以构造新集合的方法。
"
,,复合运算,,,,,,,,"特性: 满足结合律，结果唯一确定；次序与置换函数乘积运算相反。
；定义: 结合多个基本操作进行复杂查询的运算；函数关系的组合运算；函数与其自身进行复合的运算；将两个函数依次作用的运算。
；相关: 与计算机领域密切相关。
；应用: 用于多表查询运算的实现；适用于置换函数。
"
,,外延性原理,,,,,,,,"表示: A=B表示相等，A≠B表示不相等。
；定义: 集合相等当且仅当两者具有相同元素。
"
,,多源最短路径,,,,,,,,"定义: 求图中任意一对结点之间的最短路径。
"
,,子代数,,,,,,,代数格,"特性: 具有普适性
；用途: 研究代数结构的基本方法论之一
；定义: 代数结构的子集，继承原结构的运算和性质；考察代数结构子集及其上的运算，形成的代数结构；同态映射的像构成的代数结构是原代数结构的子代数；从代数系统出发，通过子集和运算定义的子系统
；研究: 探讨代数结构内部结构和性质的一部分
；性质: 同态像的性质
；生成: 通过载体集合子集产生
"
,,子格,,,,,,,,"定义: 格的非空子集S，若运算*和⊕在S上封闭，则称S为子格。
；条件: S非空且运算封闭。
"
,,子群,,,,,,封闭性;定理12.11;定理12.10;定理12.9;定理12.8;单位元;非平凡子群;平凡子群,逆元;群同态,"特性: 其陪集基数相等且等于子群的基数。
；关系: 是群的子集，继承群的性质；确定群上的同余关系和划分。
；定义: 群的一个子集，在该子集上群的运算仍构成一个群；设\langle G,*angle是群，S是其非空子集，若\langle S,*angle也是群，则称\langle S,*angle为\langle G,*angle的子群；群的子集，在群的运算下仍构成群。
；相关: 群的一部分，自身也构成群。
；条件: 满足群的封闭性、结合律、单位元和逆元。
；判定: 需满足封闭性、单位元存在性和逆元存在性；（1）orall a,b\in S有a * b\in S，（2）orall a\in S有a^{-1}\in S。
；性质: 子群的单位元是群的单位元，子群中元素的逆元是其在群中的逆元。
"
,,完全覆盖,,,,,,,最大相容类,"定义: 一种特殊的集合覆盖，覆盖集合中的所有元素；由所有最大相容类构成的覆盖。
；相关: 与相容关系和集合覆盖密切相关。
；特点: 由相容关系唯一确定。
"
,,完备匹配,,,,,,,最大匹配,"关系: 完备匹配一定是最大匹配，反之不然。
；定义: 二分图中每个结点都恰好属于一条匹配边的匹配；X和Y中每个结点都是饱和结点的匹配。
；条件: 存在完备匹配时，必有|X|=|Y|。
；关联: 与二分图密切相关。
"
,,完备集,,,,,,,命题公式,"组成: 如_neg、_and、_or等基本联结词
；定义: 能够表示任意命题公式的最小联结词集合；包含足够联结词以表达所有命题公式的集合；包含足够联结词以表达任意逻辑关系的集合
；问题: 考察至少需要多少种联结词
；特点: 能表示所有可能的真值函数；能够表达所有可能的逻辑命题
"
,,定义域,,,,,,,,"特性: 包含所有f中序偶的第一元素；复合函数的定义域是前一个函数的定义域。
；定义: 二元关系R的定义域是由R中所有序偶的第一元素构成的集合；函数f中所有自变量x的集合，记为dom f；函数输入值的集合。
"
,,定理1.11,,,,,,,,"内容: 多于n个元素分成n个集合，至少一个集合含两个以上元素。
"
,,定理1.12,,,,,,向下取整,,"内容: n个元素分成m个集合且m<n，至少一个集合含$\lfloor(n-1)/mfloor+1$个元素。
"
,,定理1.13,,,,,,,,"定义: 计算不重复r-排列数的公式。
；公式: P(n,r) = n(n-1)(n-2)⋯(n-r+1) = n! / (n-r)!
；条件: n和r为正整数，且r ≤ n
"
,,定理1.14,,,,,,,,"定义: 计算不重复r-圆排列数的公式。
；公式: P_c(n,r) = P(n,r) / r = n! / [r(n-r)!]
；条件: n和r为正整数，且r ≤ n
"
,,定理1.15,,,,,,,,"定义: 计算不重复r-组合数的公式。
；公式: C(n,r) = P(n,r) / r! = n! / [r!(n-r)!]
；条件: n和r为正整数，且r ≤ n
"
,,定理1.16,,,,,,无穷重m元重集,,"内容: 无穷重m元重集的可重复r-排列数为m^r。
；应用: 计算无穷重集的可重复排列数。
"
,,定理1.17,,,,,,m元重集,,"定义: 有限m元重集的全排列数计算公式。
；结论: 全排列数为n!除以各元素重数的阶乘之积。
；条件: 给定含有n个元素的有限m元重集。
"
,,定理1.18,,,,,,,重集,"结论: 可重复$r\cdot$-组合数为C(m-1+r, r)。
；条件: 重集中每个元素的从数均不小于r。
"
,,定理1.23,,,,,生成函数,r-组合数,,"结论: 母函数中x^r的系数等于r-组合数。
；内容: 无穷重数的m元重集的r-组合数的母函数是(1+x+x^2+...)^m。
"
,,定理10.18,,,,,对偶图,,,"结论: 对偶图结点数等于原图面数，边数相等，面数等于原图结点数；对偶图结点度等于原图面对应度。
"
,,定理10.7,,,,,,充要条件,,"用途: 提供二分图判定的理论依据。
；内容: 无向图是二分图当且仅当所有回路长度均为偶数。
"
,,定理11.1,,,,,,,幺元,"结论: 幺元唯一，且幺元一定是左、右幺元；若存在左、右幺元，则它们相等且是幺元。
；内容: 关于代数结构中幺元的唯一性和性质。
"
,,定理11.3,,,,,,,,"结论: 若元素存在逆元，则逆元唯一，且该逆元一定是左、右逆元；若存在左、右逆元，则它们相等且是逆元。
；内容: 关于代数结构中逆元的性质。
"
,,定理11.4,,,,,,,,"结论: 若a,b有逆元，则(a*b)的逆元为b的逆元与a的逆元的乘积；若a是可逆元，则a是可消去元。
；内容: 关于代数结构中逆元的运算性质。
"
,,定理12.1,,,,,,子半群,,"结论: 方幂集合与运算构成子半群或子含幺半群。
；条件: 半群或含幺半群及其元素方幂集合。
；内容: 给定半群的元素方幂集合与运算构成子半群或子含幺半群。
"
,,定理12.12,,,,,群,同构关系,,"结论: ⟨G1,∘⟩是群当且仅当⟨G2,*⟩是群。
；条件: 两个代数结构⟨G1,∘⟩和⟨G2,*⟩同构。
；内容: 若两个代数结构同构，则它们都是群或都不是群。
"
,,定理12.13,,,,,,,子群;群同态,"结论: $\varphi(G_{1})$关于∘构成群，即$(\varphi(G_{1}),\circ)$是$\scriptstyle(G_{2},\circ)$子群。
；条件: 群$\langle G_{1},*angle$到群$\langle G_{2},\circangle$的同态映射
"
,,定理12.14,,,,,群结构,满同态,,"结论: 如果$\langle G_{1},*angle$是群，则$\langle G_{2},\circangle$也是群，反之不然。
；条件: $\langle G_{1},*angle$和$\langle G_{2},\circangle$存在满同态关系
"
